什么也没有了,0-确定
床头柜上有个抽屉，但是被锁住了,用力拽开-1|0-离开
一台老旧的电视,看电视-3|0-离开
一个空衣柜，似乎可以容纳一个人,思索-4|0-离开
马桶，臭臭的,小号-5|大号-5|0-离开
洗手台，好像被什么东西堵住了,打开水龙头-6|照镜子-7|0-离开
一个老旧的喷头，布满了水垢,洗澡-10|离开-0
一块砖头似的肮脏的洗手池摆在那里，布满了青苔和老茧，上面斑斑驳驳，污渍累累。,2-鉴定-12-13-3-5|0-离开
是否购买商品,是-15|0-否
这里是花店|每当你通关一次游戏，这里便会发生变化,0-我知道了
靠近窗户的桌子上展示着精美的商品,0-确定
这里是猫员外|你可以在这里选择一样初始道具,0-太好了
“非常抱歉，本店暂时还没有营业”,你知道隔壁店长失踪的事吗-48|0-好吧
“欢迎光临年里，我是这里的店员”,你好-18|0-无视他
房间门口写着禁止入内,0-离开
这里是转来，暂未开放,0-我知道了
这里是emily，你可以在这里查看收集进度,0-我知道了
这里是旧天堂，你可以在这里查看成就进度,0-我知道了
这里是咖啡星人，暂未开放,0-我知道了
这里是黑邮票，可以在这里更换音乐,0-我知道了
这里是花园餐厅，暂未开放,0-我知道了
这里是山池，暂未开放,0-我知道了
这里是花间茶，可以修改颜色,0-我知道了
黑色，无尽的黑色。。。,2-怎么回事？-23-24-3-8|醒来-25
“客人，你感觉不舒服吗”,你是谁-31|这是哪-32|发生甚么事了-33
你打开了保险箱，里面有一封信,3-查看-36-3
你发现墙角有一本熟悉的备忘录，你觉得那是你遗失的,3-获得：备忘录-35-2
什么也没有,0-确定
你感受到一股奇特的能量，但事实上这里什么也没有。,0-确定
